Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Transferred (bytes),Total Transferred (bytes),CO2 (mg),Carbon Rating,Word Count,Sentence Count,Average Words Per Sentence,Flesch Reading Ease Score,Readability,Text Ratio,Crawl Depth,Folder Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Near Duplicate Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,Language,HTTP Version,Mobile Alternate Link,Closest Semantically Similar Address,Semantic Similarity Score,No. Semantically Similar,Semantic Relevance Score,URL Encoded Address,Crawl Timestamp
https://sevenroofing.com.au/,text/html; charset=UTF-8,200,OK,Indexable,,Roof Repairs Melbourne | Quality Roof Restoration | Seven Roofing,65,587,"At Seven Roofing, we offer expert Roof Repairs in and across Melbourne. Specializing in Roof Restoration, we offer durable, weather-resistant solutions. Get a free quote today!",176,1078,,0,Experienced Roofing Repairs and Restoration Specialists in Melbourne,68,Roof Restoration & Replacement Melbourne,40,Our Expert Services,19,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,https://sevenroofing.com.au/,,,,,,130926,31385,31385,12.023,,662,126,5.254,70.641,Fairly Easy,3.501,0,0,,197,34,0,100,77,33,0,0,0,0,,,,,64ed611d4ac579aae787ad565d54a723,0.116,"Wed, 25 Feb 2026 21:31:44 GMT",,,,en-AU,1.1,,,,,,https://sevenroofing.com.au/,26/02/2026 14:37
https://sevenroofing.com.au/wp-content/uploads/2021/04/brand_nutech-213x80.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,2459,2459,2459,0.942,,0,,,,,0,1,4,,0,0,0,0,0,0,0,0,0,0,,,,,,0.032,"Thu, 23 Nov 2023 06:01:21 GMT",,,,,1.1,,,,,,https://sevenroofing.com.au/wp-content/uploads/2021/04/brand_nutech-213x80.png,26/02/2026 14:37
https://sevenroofing.com.au/wp-content/uploads/2021/04/brand_colorbond-1-213x80.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,1325,1325,1325,0.508,,0,,,,,0,1,4,,0,0,0,0,0,0,0,0,0,0,,,,,,0.112,"Thu, 23 Nov 2023 06:00:54 GMT",,,,,1.1,,,,,,https://sevenroofing.com.au/wp-content/uploads/2021/04/brand_colorbond-1-213x80.png,26/02/2026 14:37
https://sevenroofing.com.au/wp-content/themes/sevenroofing/assets/images/icon_call_dark.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,0,,0,,,,,0,1,5,,0,0,0,0,0,0,0,0,0,0,,,,,,0.119,"Thu, 23 Nov 2023 05:56:24 GMT",,,,,1.1,,,,,,https://sevenroofing.com.au/wp-content/themes/sevenroofing/assets/images/icon_call_dark.svg,26/02/2026 14:37
https://sevenroofing.com.au/wp-content/uploads/2022/01/roof-replacement.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,15098,15098,15098,5.784,,0,,,,,0,1,4,,0,0,0,0,0,0,0,0,0,0,,,,,,0.136,"Thu, 23 Nov 2023 06:06:35 GMT",,,,,1.1,,,,,,https://sevenroofing.com.au/wp-content/uploads/2022/01/roof-replacement.jpg,26/02/2026 14:37
https://sevenroofing.com.au/wp-content/uploads/2021/04/icon_moneyback.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,0,,0,,,,,0,1,4,,0,0,0,0,0,0,0,0,0,0,,,,,,0.125,"Thu, 23 Nov 2023 05:59:37 GMT",,,,,1.1,,,,,,https://sevenroofing.com.au/wp-content/uploads/2021/04/icon_moneyback.svg,26/02/2026 14:37
https://sevenroofing.com.au/wp-content/uploads/2021/04/bg_whychoose.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,38702,38702,38702,14.826,,0,,,,,0,1,4,,0,0,0,0,0,0,0,0,0,0,,,,,,0.141,"Thu, 23 Nov 2023 05:59:02 GMT",,,,,1.1,,,,,,https://sevenroofing.com.au/wp-content/uploads/2021/04/bg_whychoose.jpg,26/02/2026 14:37
https://sevenroofing.com.au/wp-content/uploads/2021/04/icon_paymentplan.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,0,,0,,,,,0,1,4,,0,0,0,0,0,0,0,0,0,0,,,,,,0.033,"Thu, 23 Nov 2023 06:01:37 GMT",,,,,1.1,,,,,,https://sevenroofing.com.au/wp-content/uploads/2021/04/icon_paymentplan.svg,26/02/2026 14:37
https://sevenroofing.com.au/areas-we-serve/essendon/,text/html; charset=UTF-8,200,OK,Indexable,,Roof Repairs & Restoration Essendon | Roof & Gutter Replacement,63,587,"Ensure a durable roof with expert Roof Repairs in Essendon. We specialise in Roof Restoration, Leak Repair, Gutter & Roof Replacement. Contact Seven Roofing today!",163,1024,,0,Roof Repairs & Restoration – Essendon,37,Roofing Services Available In Essendon,38,Roof Restoration,16,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,https://sevenroofing.com.au/areas-we-serve/essendon/,,,,,,134074,30683,30683,11.754,,613,126,4.865,68.856,Normal,3.219,1,2,,60,34,0,100,77,34,0,0,0,0,,,,,5480db16e093aa7c8009874a9a0d38fe,0.128,"Thu, 26 Feb 2026 00:48:48 GMT",,,,en-AU,1.1,,,,,,https://sevenroofing.com.au/areas-we-serve/essendon/,26/02/2026 14:37
https://sevenroofing.com.au/areas-we-serve/brunswick/,text/html; charset=UTF-8,200,OK,Indexable,,Roof Repairs & Restoration Brunswick | Roof & Gutter Replacement,64,592,"Experience superior roofing solutions with Seven Roofing. Our skilled team handles Roof Repairs, Roof Restoration, Roof Leak Repair, Roof & Gutter Replacement in Brunswick.",172,1077,,0,Roof Restoration & Replacement – Brunswick,42,Roofing Services Available In Brunswick,39,Roof Repairs and Painting,25,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,https://sevenroofing.com.au/areas-we-serve/brunswick/,,,,,,137836,32777,32777,12.556,,858,145,5.917,73.337,Fairly Easy,4.167,1,2,,60,34,0,100,76,34,0,0,0,0,,,,,eb74e0197b33584fd838ee1ab7cf73b4,0.14,"Thu, 26 Feb 2026 00:24:28 GMT",,,,en-AU,1.1,,,,,,https://sevenroofing.com.au/areas-we-serve/brunswick/,26/02/2026 14:37
https://sevenroofing.com.au/wp-content/uploads/2021/04/logo_hia.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,0,,0,,,,,0,1,4,,0,0,0,0,0,0,0,0,0,0,,,,,,0.024,"Thu, 23 Nov 2023 06:00:40 GMT",,,,,1.1,,,,,,https://sevenroofing.com.au/wp-content/uploads/2021/04/logo_hia.svg,26/02/2026 14:37
https://sevenroofing.com.au/wp-content/cache/min/1/wp-content/themes/sevenroofing/assets/css/common-critical.css?ver=1770203543,text/css,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,0,,0,,,,,0,1,9,,0,0,0,0,0,0,0,0,0,0,,,,,,0.102,"Wed, 04 Feb 2026 11:12:23 GMT",,,,,1.1,,,,,,https://sevenroofing.com.au/wp-content/cache/min/1/wp-content/themes/sevenroofing/assets/css/common-critical.css?ver=1770203543,26/02/2026 14:37
